y_pred,y_test
-61.670764339407484,52
44.814374280682415,-13
-530.6012088030684,-529
-167.10421816357837,63
-252.5855822196545,-186
-143.46213265783302,117
-660.7351632382248,-984
-27.243967017121676,-33
-3370.288198128235,-4101
-274.312480430702,-283
-390.60589528454545,-281
12.707274980218145,64
-274.8464071177928,-230
169.11543772562163,556
-62.764420302141474,22
-37.966375308743956,34
2239.699875148542,2052
-445.9160411363145,-304
42.595063852965055,-78
-823.5478729736059,-994
-4671.361359724769,-5208
-146.85006121265565,0
-1150.7941975605654,-1227
-143.14095243865881,-43
-65.42188519694592,-66
9.157445893660025,-139
-510.8671607018448,-732
-222.90288984678864,-148
-453.855737184056,-571
-93.128173258735,158
-406.25567782290983,-439
-126.09772844089808,59
-26.478782806143823,79
-75.65465509619635,-47
-81.37257644579883,-12
-242.49466713422015,-75
4.562932754110321,-41
-91.75720705137803,163
-5423.988338254497,-6237
-24.294035451359512,165
27.697958728340936,110
-157.22526459757125,-77
-150.73430536045908,4
-326.5979070487639,-103
-160.1964366675187,111
-183.41987832541332,-203
-111.58764251621973,126
-22.99655721778968,-88
-135.4642792599377,56
-995.7408343654129,-1170
-180.33239025378532,-41
-93.38500296745565,-13
-266.8804150591863,-191
-65.44336155433483,-23
122.75029548842642,65
-290.4609197317371,-453
-354.8616542652713,24
-131.4540932934553,-177
-112.61722807962381,49
-1298.994584150946,-1522
470.8434967000318,79
-41.346973291603426,12
1667.0410374641733,2289
-35.28104878579262,-90
2038.642112971177,1763
29.12362558143912,-1
-35.32269047040382,38
-309.2301825103131,-36
-83.91736589409956,15
-2477.7089361030753,-3062
-364.8441501589436,-213
-57.202640124986615,-4
-108.66697382034268,0
-52.302887728904594,100
-356.1750073224451,-106
-283.67902376577376,-219
-1341.5482022500796,-1538
-99.90858476217927,87
-58.68061585059695,-68
-56.70498072428173,-55
-66.02933758788467,-44
-91.74020702705566,0
-127.06692942874817,0
-73.74978365794517,36
-62.942489306202845,0
839.2496798862965,642
-73.65637469410298,-4
-1587.5444215307393,-1667
-36.842200337645124,0
-79.47949112246728,226
-518.5604875131678,-833
97.09792763996218,336
-193.05544822330592,-2
-18.193598252434843,197
-195.45378646263896,-225
-227.72142261951444,-168
-113.32850874788927,5
-168.35698860058244,125
-107.37558280614009,82
-32.02425532534264,-13
-81.794373746515,0
-47.52930451075642,29
-210.68210102059356,49
33.76040902463614,-61
-75.92514670995925,8
-64.79408728916188,38
-5635.620275835992,-6815
-163.7510012602349,-140
-86.1956884217583,-1
-125.68847996063874,5
-125.61064995289848,112
-187.1313518480526,157
-526.0468657160961,-605
-38.04855987909529,74
73.90262863690266,5
348.8919361033636,1313
-143.29169579323502,-5
-1268.7815172499725,-1155
-5.611519672310891,463
-361.59551869772525,-114
-89.13115209723911,-40
-120.7123633965104,-176
10.29579327326097,100
-1507.5177764560856,-1624
-11.933937677148307,9
-93.63129340887613,22
225.58040508059707,347
-140.73411566470497,-17
-202.71047420054333,-193
-62.365471732721815,65
36.849090612951066,126
-61.70389173734676,25
-418.14178756286793,-834
-79.74479391509357,66
-310.7477146617128,-319
80307.9862873805,83422
-1673.1434922829196,-1408
-81.1170253523325,-116
-13.089504200346028,138
0.11591442965216459,17
-782.7124973023881,-496
129.04647324550837,351
-1308.7291305204353,-741
-164.48090948755106,-64
-213.7646723376073,-131
-23.449070174776953,126
-978.3372697326141,-1542
-211.36040118265203,-142
17.940089123467388,104
200.61240298551485,294
-291.65053392891235,-246
-80.99726322310825,-4
-2490.107653626184,-560
-604.837716861309,-656
-24.838997268360544,14
-1311.3445534531706,-1964
-900.5428902231001,-692
292.6039527659483,178
3600.7283951827853,2912
201.73346476871268,-100
323.3597790054811,641
3.4132242589942123,-131
40.02865868139027,-42
356.63908822933047,423
-27.83652394969249,-45
-182.88084940676947,-98
-214.98040039869772,94
-57.851333350201884,-252
-268.7356717838747,-226
-578.5067541883292,-463
212.9696210471351,146
0.05935669503107022,-84
-38.47222738074796,-28
-79.63992754807408,68
-370.84992780973636,-156
-329.4712876819521,-301
-1932.4001766715023,-3089
-108.39573730430526,35
12.17794108615385,-20
64.34602652210852,130
-29.661163029557386,-9
21153.399310373446,22970
-36.685547101826096,88
335.751389225227,521
-113.50268748771039,8
-127.19823668286678,45
-136.7753900351193,-19
-80.36452330363049,18
-63.08505954323868,-17
-138.549275562018,103
-72.81309252676651,-65
-219.36488983989517,33
-4.7592070770943735,39
-128.35367378981846,-20
-128.6403315466269,56
-2787.6575011264863,-3643
8088.663365244335,9329
-1791.049387712678,-2473
-262.2571977671424,-69
