,AQI,Net Migration Outflow,year
116,4.0,188,2009
117,6.0,175,2010
118,4.0,97,2011
119,6.0,162,2012
120,6.0,68,2013
121,3.0,63,2014
122,6.0,113,2015
123,4.0,9,2016
124,47.0,-138,2001
125,43.0,-120,2002
126,42.0,-6,2003
127,42.0,-30,2004
128,48.0,21,2005
129,37.0,-34,2006
130,44.0,52,2007
131,39.0,21,2008
132,37.0,123,2009
133,43.0,-34,2010
134,30.0,2672,1993
135,36.0,3453,1994
136,33.0,892,1995
137,34.0,857,1996
138,32.0,1097,1997
139,36.0,1929,1998
140,43.0,1362,1999
141,41.0,1160,2000
142,41.0,1356,2001
143,41.0,900,2002
144,42.0,690,2003
145,39.0,932,2004
146,43.0,867,2005
147,39.0,689,2006
148,42.0,467,2007
149,38.0,1573,2008
150,38.0,315,2009
151,34.0,844,2010
152,39.0,1225,2011
153,39.0,741,2012
154,37.0,1361,2013
155,38.0,1244,2014
156,42.0,34,2015
157,39.0,1121,2016
158,41.0,3082,2017
159,42.0,1502,2018
160,42.0,968,2019
161,57.0,191,1993
162,65.0,221,1994
163,59.0,786,1995
164,56.0,384,1996
165,56.0,521,1997
166,56.0,724,1998
167,46.0,81,1999
168,50.0,715,2000
169,43.0,503,2001
170,49.0,138,2002
171,52.0,202,2003
172,52.0,382,2004
173,58.0,447,2005
174,55.0,398,2006
175,57.0,552,2007
176,51.0,816,2008
177,46.0,89,2009
178,56.0,262,2010
179,47.0,106,2011
180,52.0,65,2012
181,48.0,392,2013
182,51.0,161,2014
183,46.0,110,2015
184,41.0,619,2016
185,42.0,1440,2017
186,41.0,199,2018
187,41.0,318,2019
188,25.0,192,1993
189,46.0,165,1995
190,32.0,851,1996
191,54.0,330,1999
192,56.0,1137,2000
193,55.0,1227,2001
194,54.0,859,2002
195,49.0,73,2003
196,47.0,514,2004
197,52.0,121,2005
198,45.0,-197,2006
199,54.0,-72,2007
200,46.0,478,2008
201,46.0,193,2009
202,52.0,857,2010
203,51.0,277,2011
204,54.0,357,2012
205,52.0,652,2013
206,34.0,103,2014
207,38.0,59,2015
208,30.0,462,2016
209,36.0,2156,2017
210,34.0,844,2018
211,33.0,717,2019
212,30.0,-11,1993
213,38.0,-83,1994
214,44.0,83,1995
215,42.0,199,1996
216,37.0,164,1997
217,40.0,113,1998
218,40.0,77,1999
219,38.0,27,2000
220,36.0,202,2001
221,36.0,87,2002
222,37.0,180,2003
223,35.0,17,2004
224,37.0,169,2005
225,34.0,109,2006
226,38.0,178,2007
227,37.0,73,2008
228,33.0,12,2009
229,38.0,61,2010
230,37.0,182,2011
231,37.0,97,2012
232,35.0,-23,2013
233,36.0,78,2014
234,35.0,113,2015
235,35.0,195,2016
236,35.0,70,2017
237,35.0,111,2018
238,37.0,87,2019
239,46.0,47,1993
240,56.0,464,1994
241,48.0,626,1995
242,51.0,495,1996
243,44.0,817,1997
244,46.0,608,1998
245,46.0,536,1999
246,50.0,835,2000
247,54.0,661,2001
248,48.0,439,2002
249,49.0,405,2003
250,46.0,500,2004
251,49.0,526,2005
252,45.0,172,2006
253,56.0,328,2007
254,56.0,568,2008
255,44.0,5,2009
256,57.0,-270,2010
257,55.0,21,2011
258,52.0,364,2012
259,51.0,369,2013
260,52.0,466,2014
261,51.0,293,2015
262,43.0,448,2016
263,44.0,587,2017
264,42.0,309,2018
265,45.0,178,2019
266,107.0,-434,1993
267,105.0,-379,1994
268,89.0,-402,1995
269,82.0,-468,1996
270,67.0,-529,1997
271,77.0,-174,1998
272,79.0,-334,1999
273,66.0,-458,2000
274,70.0,-258,2001
275,77.0,-185,2002
276,61.0,-454,2003
277,49.0,-362,2004
