,AQI,Net Migration Outflow,year
3700,44.0,-4385,2002
3701,17.0,1,1993
3702,16.0,-27,1994
3703,19.0,-56,1995
3704,17.0,-39,1996
3705,17.0,-46,1997
3706,18.0,99,1998
3707,19.0,-70,1999
3708,19.0,37,2000
3709,12.0,-188,2001
3710,15.0,-111,2002
3711,19.0,-231,2003
3712,43.0,51,2004
3713,43.0,36,2005
3714,44.0,60,2006
3715,49.0,-63,2007
3716,42.0,106,2008
3717,35.0,162,2009
3718,41.0,102,2010
3719,39.0,258,2011
3720,39.0,104,2012
3721,37.0,101,2013
3722,36.0,13,2014
3723,36.0,-41,2015
3724,42.0,80,2016
3725,36.0,74,2017
3726,35.0,0,2018
3727,40.0,38,2019
3728,13.0,365,1993
3729,13.0,1505,1994
3730,37.0,1134,1995
3731,39.0,1130,1996
3732,35.0,1158,1997
3733,38.0,1947,1998
3734,46.0,1597,1999
3735,46.0,1597,2000
3736,41.0,1300,2001
3737,41.0,1001,2002
3738,43.0,1218,2003
3739,52.0,40,2004
3740,58.0,1863,2005
3741,57.0,-136,2006
3742,55.0,-401,2007
3743,50.0,-7,2008
3744,46.0,-1653,2009
3745,50.0,396,2010
3746,52.0,-1745,2011
3747,44.0,435,2012
3748,42.0,932,2013
3749,43.0,-140,2014
3750,38.0,307,2015
3751,39.0,1348,2016
3752,38.0,3612,2017
3753,37.0,2373,2018
3754,39.0,1763,2019
3755,63.0,1160,1999
3756,62.0,789,2000
3757,59.0,773,2001
3758,54.0,995,2002
3759,47.0,822,2003
3760,51.0,923,2004
3761,54.0,1093,2005
3762,57.0,500,2006
3763,55.0,576,2007
3764,48.0,925,2008
3765,43.0,864,2009
3766,46.0,1428,2010
3767,48.0,808,2011
3768,43.0,742,2012
3769,40.0,1183,2013
3770,42.0,994,2014
3771,38.0,54,2015
3772,40.0,437,2016
3773,38.0,1384,2017
3774,39.0,1146,2018
3775,44.0,1293,2019
3776,45.0,-40,1993
3777,40.0,-115,1994
3778,41.0,5,1995
3779,40.0,-89,1996
3780,37.0,8,1997
3781,44.0,-67,1998
3782,50.0,-22,1999
3783,40.0,74,2000
3784,35.0,-71,2001
3785,33.0,42,2002
3786,32.0,-16,2003
3787,33.0,41,2004
3788,28.0,31,2005
3789,35.0,-17,2006
3790,29.0,-26,2007
3791,29.0,-47,2008
3792,28.0,-4,2009
3793,30.0,9,2010
3794,32.0,-12,2011
3795,27.0,-30,2012
3796,24.0,79,2013
3797,25.0,20,2014
3798,24.0,3,2015
3799,23.0,28,2016
3800,21.0,-64,2017
3801,20.0,-92,2018
3802,20.0,-65,2019
3803,41.0,8704,1993
3804,41.0,7090,1994
3805,36.0,8531,1995
3806,44.0,4418,1996
3807,46.0,5189,1997
3808,47.0,7157,1998
3809,44.0,8418,1999
3810,34.0,10330,2000
3811,34.0,10859,2001
3812,29.0,19140,2002
3813,19.0,16217,2003
3814,14.0,16250,2004
3815,30.0,16287,2005
3816,32.0,12133,2006
3817,33.0,7912,2007
3818,34.0,1391,2008
3819,33.0,-2405,2009
3820,35.0,1968,2010
3821,34.0,1695,2011
3822,33.0,1754,2012
3823,34.0,4438,2013
3824,32.0,7445,2014
3825,33.0,3335,2015
3826,33.0,10066,2016
3827,33.0,17355,2017
3828,35.0,10653,2018
3829,37.0,10044,2019
3830,38.0,1387,1993
3831,35.0,134,1994
3832,31.0,472,1995
3833,17.0,515,1996
3834,14.0,1315,1997
3835,12.0,1592,1998
3836,40.0,2637,1999
3837,36.0,2930,2000
3838,42.0,1998,2001
3839,48.0,3269,2002
3840,40.0,4363,2003
3841,38.0,3396,2004
3842,37.0,3856,2005
3843,35.0,1780,2006
3844,39.0,633,2007
3845,37.0,-1309,2008
3846,33.0,-848,2009
3847,36.0,-1874,2010
3848,38.0,-107,2011
3849,36.0,-480,2012
3850,37.0,435,2013
3851,38.0,1057,2014
3852,37.0,353,2015
3853,37.0,1687,2016
3854,36.0,1878,2017
3855,32.0,-200,2018
3856,34.0,-970,2019
3857,32.0,-1177,1993
3858,33.0,-1239,1994
3859,31.0,-965,1995
3860,28.0,-1377,1996
3861,23.0,-1564,1997
3862,40.0,-2246,1999
3863,43.0,-1963,2000
3864,44.0,-2012,2001
3865,39.0,-1907,2002
3866,35.0,-841,2003
3867,35.0,138,2004
3868,40.0,-96,2005
3869,33.0,775,2006
3870,32.0,150,2007
3871,35.0,-212,2008
3872,31.0,-769,2009
3873,30.0,-981,2010
3874,30.0,-528,2011
3875,29.0,-1640,2012
3876,28.0,-2452,2013
3877,37.0,-1970,2014
3878,36.0,-821,2015
3879,35.0,-2318,2016
3880,36.0,-4345,2017
3881,36.0,-2264,2018
3882,37.0,-1950,2019
3883,59.0,10504,1993
3884,55.0,8449,1994
3885,48.0,9452,1995
3886,52.0,7678,1996
3887,52.0,7153,1997
3888,54.0,7466,1998
3889,54.0,5923,1999
3890,58.0,10084,2000
3891,58.0,8662,2001
3892,55.0,13062,2002
3893,58.0,16668,2003
3894,57.0,17377,2004
3895,56.0,16064,2005
3896,51.0,12721,2006
3897,55.0,8853,2007
3898,52.0,7184,2008
3899,44.0,3247,2009
3900,46.0,6949,2010
3901,49.0,3966,2011
3902,45.0,7547,2012
3903,46.0,9243,2013
3904,44.0,10516,2014
3905,43.0,3994,2015
3906,42.0,11607,2016
3907,49.0,22818,2017
3908,44.0,14276,2018
3909,38.0,15128,2019
3910,44.0,-243,1993
3911,45.0,-391,1994
3912,39.0,-249,1995
3913,44.0,-45,1996
3914,42.0,-567,1997
3915,42.0,-939,1998
3916,44.0,-1273,1999
3917,42.0,-1781,2000
3918,43.0,-1483,2001
3919,39.0,-1743,2002
3920,42.0,-1097,2003
3921,46.0,251,2004
3922,45.0,1927,2005
3923,43.0,1860,2006
3924,40.0,1004,2007
3925,40.0,422,2008
3926,36.0,137,2009
3927,42.0,354,2010
3928,45.0,512,2011
3929,40.0,-601,2012
3930,40.0,-929,2013
3931,37.0,-1043,2014
3932,37.0,-483,2015
3933,36.0,-824,2016
3934,39.0,-3466,2017
3935,40.0,-1654,2018
3936,40.0,-1622,2019
3937,24.0,47,2003
3938,38.0,1,2004
3939,41.0,32,2005
3940,39.0,75,2006
3941,39.0,4,2007
3942,43.0,51,2008
3943,33.0,60,2009
3944,40.0,29,2010
3945,40.0,50,2011
3946,37.0,-50,2012
3947,36.0,-203,2013
3948,35.0,-18,2014
3949,31.0,114,2015
3950,35.0,28,2016
3951,37.0,-83,2017
3952,37.0,63,2018
3953,38.0,55,2019
3954,51.0,2528,1993
3955,50.0,1064,1994
3956,43.0,-17,1995
3957,46.0,79,1996
3958,43.0,-288,1997
3959,44.0,-1514,1998
3960,43.0,196,1999
3961,40.0,-82,2000
3962,40.0,-618,2001
3963,39.0,1867,2002
3964,38.0,3508,2003
3965,39.0,4659,2004
3966,44.0,3796,2005
3967,41.0,3037,2006
3968,44.0,2390,2007
3969,44.0,788,2008
3970,40.0,-469,2009
3971,40.0,-1118,2010
3972,44.0,-176,2011
3973,42.0,-850,2012
3974,41.0,-883,2013
3975,39.0,24,2014
3976,37.0,780,2015
3977,37.0,354,2016
3978,38.0,200,2017
3979,38.0,955,2018
3980,37.0,1644,2019
3981,41.0,-2272,1993
3982,44.0,-2878,1994
3983,41.0,-3350,1995
3984,43.0,-3184,1996
3985,41.0,-2606,1997
3986,40.0,-3298,1998
3987,41.0,-3647,1999
3988,36.0,-3471,2000
3989,39.0,-2264,2001
3990,40.0,-2318,2002
3991,42.0,-1810,2003
3992,40.0,-467,2004
3993,42.0,772,2005
3994,42.0,296,2006
3995,38.0,459,2007
3996,41.0,67,2008
3997,34.0,-306,2009
3998,39.0,-823,2010
3999,35.0,-419,2011
4000,36.0,-1108,2012
4001,36.0,-1070,2013
4002,35.0,-1044,2014
4003,34.0,242,2015
4004,36.0,-1118,2016
4005,37.0,-2724,2017
4006,36.0,-1375,2018
4007,36.0,-741,2019
4008,29.0,-182,2000
4009,35.0,-50,2001
4010,35.0,-95,2002
4011,36.0,-408,2003
4012,34.0,-185,2004
4013,37.0,-279,2005
4014,35.0,-265,2006
4015,36.0,-241,2007
4016,34.0,-81,2008
4017,31.0,-46,2009
4018,35.0,-71,2010
4019,35.0,-46,2011
4020,33.0,-105,2012
4021,34.0,-114,2013
4022,35.0,-108,2014
4023,35.0,-13,2015
4024,34.0,-79,2016
4025,35.0,-231,2017
4026,35.0,-281,2018
4027,34.0,-103,2019
4028,41.0,562,1993
4029,43.0,135,1994
4030,36.0,323,1995
4031,42.0,105,1996
4032,41.0,113,1997
4033,38.0,434,1998
4034,42.0,332,1999
4035,42.0,406,2000
4036,48.0,331,2001
4037,42.0,387,2002
4038,45.0,-169,2003
4039,43.0,155,2004
4040,48.0,111,2005
4041,42.0,366,2006
4042,38.0,120,2007
4043,42.0,376,2008
4044,42.0,-23,2009
4045,37.0,73,2010
4046,43.0,208,2011
4047,44.0,-65,2012
4048,45.0,107,2013
4049,44.0,-77,2014
4050,34.0,146,2015
4051,27.0,-57,2016
4052,35.0,-226,2017
4053,33.0,-264,2018
4054,37.0,-139,2019
4055,49.0,3227,1993
4056,54.0,3349,1994
4057,44.0,3263,1995
4058,44.0,2539,1996
4059,41.0,1370,1997
4060,40.0,1561,1998
4061,48.0,1539,1999
4062,52.0,1394,2000
4063,53.0,1595,2001
4064,50.0,122,2002
4065,50.0,131,2003
4066,47.0,1214,2004
4067,49.0,1254,2005
4068,44.0,1922,2006
4069,44.0,2023,2007
4070,44.0,1911,2008
4071,43.0,743,2009
4072,42.0,1150,2010
4073,44.0,1257,2011
4074,42.0,1172,2012
4075,40.0,1393,2013
4076,40.0,1554,2014
4077,39.0,727,2015
4078,38.0,1910,2016
4079,38.0,2340,2017
4080,38.0,1272,2018
4081,39.0,1462,2019
4082,44.0,-313,1993
4083,46.0,-342,1994
4084,37.0,-243,1995
4085,36.0,-18,1996
4086,39.0,414,1997
4087,38.0,458,1998
4088,41.0,139,1999
4089,36.0,462,2000
4090,42.0,396,2001
4091,38.0,-108,2002
4092,38.0,-463,2003
4093,39.0,248,2004
4094,42.0,470,2005
4095,37.0,350,2006
4096,44.0,286,2007
4097,44.0,63,2008
4098,39.0,302,2009
4099,38.0,203,2010
4100,38.0,373,2011
4101,36.0,618,2012
4102,38.0,253,2013
4103,40.0,9,2014
4104,36.0,203,2015
4105,36.0,-116,2016
4106,36.0,178,2017
4107,37.0,311,2018
4108,38.0,-1,2019
4109,40.0,110,2014
4110,37.0,-28,2015
4111,35.0,21,2016
4112,35.0,-261,2017
4113,36.0,-311,2018
4114,37.0,-212,2019
4115,28.0,-4002,1993
4116,23.0,-3673,1994
4117,28.0,-2358,1995
4118,61.0,-1614,1998
4119,51.0,-2200,1999
4120,41.0,-2440,2000
4121,51.0,-3106,2001
4122,47.0,-3998,2002
4123,41.0,-2223,2003
4124,44.0,-2174,2004
4125,46.0,-1608,2005
4126,44.0,-1399,2006
4127,48.0,-1729,2007
4128,44.0,-201,2008
4129,40.0,175,2009
4130,49.0,-933,2010
4131,44.0,-783,2011
4132,47.0,-620,2012
4133,43.0,-707,2013
4134,42.0,-1097,2014
4135,44.0,-425,2015
4136,43.0,-1476,2016
4137,42.0,-4685,2017
4138,41.0,-3886,2018
4139,44.0,-3274,2019
4140,115.0,162,1995
4141,44.0,-125,1996
4142,41.0,71,1997
4143,42.0,138,1998
4144,41.0,-101,1999
4145,37.0,122,2000
4146,40.0,24,2001
4147,41.0,-56,2002
4148,36.0,-108,2003
4149,37.0,-273,2004
4150,39.0,-237,2005
4151,40.0,-179,2006
4152,40.0,-255,2007
4153,39.0,-130,2008
4154,36.0,151,2009
4155,40.0,-154,2010
4156,40.0,-35,2011
4157,39.0,-125,2012
4158,40.0,-49,2013
4159,43.0,-52,2014
4160,42.0,-38,2015
4161,40.0,-74,2016
4162,42.0,129,2017
4163,38.0,64,2018
4164,41.0,50,2019
4165,58.0,-449,1993
4166,47.0,-638,1994
4167,51.0,-633,1995
4168,49.0,-875,1996
4169,50.0,-1262,1997
4170,61.0,-1515,1998
4171,61.0,-1690,1999
4172,45.0,-1655,2000
4173,46.0,-1876,2001
4174,50.0,-2115,2002
4175,44.0,-2603,2003
4176,44.0,-2238,2004
4177,45.0,-1965,2005
4178,44.0,-1939,2006
4179,51.0,-1198,2007
4180,45.0,-1041,2008
4181,42.0,-322,2009
4182,47.0,-909,2010
4183,45.0,-1017,2011
4184,45.0,-641,2012
4185,40.0,-1414,2013
4186,44.0,-1236,2014
4187,44.0,-1137,2015
4188,42.0,-1536,2016
4189,44.0,-2912,2017
4190,39.0,-2280,2018
4191,40.0,-1260,2019
4192,37.0,-2342,1993
4193,38.0,-3013,1994
4194,39.0,-2311,1995
4195,37.0,-2299,1996
4196,39.0,-1944,1997
4197,39.0,-1941,1998
4198,39.0,-1437,1999
4199,38.0,-1625,2000
4200,44.0,-1700,2001
4201,42.0,-2733,2002
4202,41.0,-2598,2003
4203,48.0,-2324,2004
4204,49.0,-2268,2005
4205,47.0,-1566,2006
4206,49.0,-448,2007
4207,47.0,-549,2008
4208,44.0,-460,2009
4209,49.0,-733,2010
4210,49.0,-950,2011
4211,48.0,-259,2012
4212,44.0,-138,2013
4213,44.0,-212,2014
4214,43.0,210,2015
4215,41.0,-939,2016
4216,43.0,-2774,2017
4217,39.0,-1693,2018
4218,44.0,-1604,2019
4219,22.0,-75,1993
4220,24.0,-112,1994
4221,19.0,-70,1995
4222,22.0,11,1996
4223,20.0,-123,1997
4224,18.0,45,1998
4225,42.0,-27,2004
4226,41.0,-28,2005
4227,41.0,-53,2006
4228,43.0,-47,2007
4229,41.0,26,2008
4230,40.0,135,2009
4231,44.0,23,2010
4232,45.0,-59,2011
4233,43.0,-11,2012
4234,42.0,-3,2013
4235,41.0,38,2014
4236,40.0,71,2015
4237,38.0,-16,2016
4238,40.0,-84,2017
4239,37.0,78,2018
4240,37.0,43,2019
4241,43.0,3462,1993
4242,45.0,1013,1994
4243,40.0,-21,1995
4244,34.0,-976,1996
4245,36.0,-847,1997
4246,42.0,3760,1998
4247,43.0,376,1999
4248,50.0,-1522,2000
4249,57.0,-1938,2001
4250,56.0,-2188,2002
4251,55.0,-3094,2003
4252,56.0,-1416,2004
4253,58.0,-1064,2005
4254,57.0,-869,2006
4255,55.0,1145,2007
4256,52.0,2052,2008
4257,48.0,921,2009
4258,44.0,-472,2010
4259,42.0,-1038,2011
4260,42.0,-1522,2012
4261,40.0,719,2013
4262,40.0,186,2014
4263,42.0,92,2015
4264,44.0,912,2016
4265,40.0,3855,2017
4266,42.0,2045,2018
4267,43.0,1619,2019
4268,50.0,-1648,1993
4269,48.0,-2300,1994
4270,48.0,-2790,1995
4271,46.0,-2738,1996
4272,44.0,-2392,1997
4273,51.0,-1711,1998
4274,49.0,-2113,1999
4275,43.0,-2130,2000
4276,47.0,-2274,2001
4277,47.0,-3462,2002
4278,42.0,-3187,2003
4279,44.0,-2330,2004
4280,47.0,-1200,2005
4281,44.0,-1148,2006
4282,47.0,-771,2007
4283,43.0,-451,2008
4284,39.0,29,2009
4285,46.0,-279,2010
4286,44.0,-28,2011
4287,45.0,-405,2012
4288,43.0,-731,2013
4289,43.0,-699,2014
4290,43.0,-313,2015
4291,42.0,-883,2016
4292,41.0,-2344,2017
4293,41.0,-1113,2018
4294,43.0,-1141,2019
4295,44.0,-865,1993
4296,45.0,-761,1994
4297,47.0,-888,1995
4298,44.0,-853,1996
4299,43.0,-1010,1997
4300,49.0,-1095,1998
4301,45.0,-1354,1999
4302,47.0,-1073,2000
4303,50.0,-1116,2001
4304,46.0,-1227,2002
4305,44.0,-1630,2003
4306,44.0,-1713,2004
4307,47.0,-1592,2005
4308,46.0,-1455,2006
4309,48.0,-719,2007
4310,50.0,-450,2008
4311,44.0,-407,2009
4312,44.0,-620,2010
4313,44.0,-370,2011
4314,45.0,-248,2012
4315,43.0,-395,2013
4316,43.0,-306,2014
4317,44.0,-79,2015
4318,42.0,-379,2016
4319,42.0,-812,2017
4320,40.0,-529,2018
4321,39.0,-575,2019
4322,49.0,-1627,1996
4323,49.0,-2092,1997
4324,48.0,-1932,1998
4325,47.0,-1456,1999
4326,44.0,-1706,2000
4327,44.0,-1660,2001
4328,44.0,-1374,2005
4329,46.0,-1196,2006
4330,50.0,-743,2007
4331,45.0,-448,2008
4332,42.0,-441,2009
4333,47.0,-488,2010
4334,44.0,-285,2011
4335,45.0,-396,2012
4336,42.0,-581,2013
4337,44.0,-202,2014
4338,44.0,-158,2015
4339,42.0,-592,2016
4340,43.0,-1235,2017
4341,39.0,-812,2018
4342,39.0,-806,2019
4343,48.0,-935,2014
4344,35.0,-612,2015
4345,39.0,-1856,2016
4346,34.0,-2880,2017
4347,35.0,-1810,2018
4348,30.0,-548,2019
4349,33.0,3462,1993
4350,34.0,4086,1994
4351,31.0,2926,1995
4352,30.0,4199,1996
4353,39.0,4744,1997
4354,58.0,3499,1998
4355,50.0,1260,1999
4356,45.0,1740,2000
4357,47.0,2807,2001
4358,49.0,4019,2002
4359,43.0,7372,2003
4360,44.0,9595,2004
4361,43.0,9385,2005
4362,47.0,10456,2006
4363,46.0,8901,2007
4364,45.0,3714,2008
4365,45.0,-591,2009
4366,47.0,-633,2010
4367,47.0,-398,2011
4368,45.0,1740,2012
4369,40.0,5027,2013
4370,42.0,3143,2014
4371,45.0,4180,2015
4372,38.0,7182,2016
4373,38.0,9179,2017
4374,42.0,8418,2018
4375,39.0,7645,2019
4376,54.0,-159,1993
4377,49.0,-184,1994
4378,47.0,-244,1995
4379,46.0,-28,1996
4380,49.0,-107,1997
4381,51.0,-84,1998
4382,48.0,-52,1999
4383,43.0,-172,2000
4384,47.0,-83,2001
4385,47.0,-34,2002
4386,44.0,-52,2003
4387,44.0,-113,2004
4388,44.0,-161,2005
4389,45.0,-58,2006
4390,49.0,-79,2007
4391,45.0,-173,2008
4392,42.0,-12,2009
4393,44.0,-37,2010
4394,45.0,78,2011
4395,48.0,192,2012
4396,40.0,17,2013
4397,41.0,-108,2014
4398,44.0,22,2015
4399,38.0,0,2016
4400,42.0,68,2017
4401,39.0,-147,2018
4402,40.0,87,2019
4403,47.0,1858,1993
4404,44.0,313,1994
4405,41.0,-55,1995
4406,38.0,-118,1996
4407,38.0,-1878,1997
4408,40.0,-1822,1998
4409,44.0,-2934,1999
4410,40.0,-3408,2000
4411,49.0,-2937,2001
4412,45.0,-1844,2002
4413,49.0,-1055,2003
4414,45.0,912,2004
4415,44.0,436,2005
4416,40.0,1114,2006
4417,41.0,2147,2007
4418,41.0,2508,2008
4419,39.0,916,2009
4420,43.0,256,2010
4421,43.0,1017,2011
4422,41.0,444,2012
4423,40.0,-95,2013
4424,39.0,312,2014
4425,37.0,651,2015
4426,38.0,907,2016
4427,38.0,-1321,2017
4428,38.0,634,2018
4429,40.0,-489,2019
4430,50.0,-2683,1993
4431,48.0,-2866,1994
4432,45.0,-1382,1995
4433,44.0,-767,1996
4434,47.0,-1302,1997
4435,59.0,-2010,1998
4436,50.0,-2649,1999
4437,49.0,-2258,2000
4438,50.0,-1766,2001
4439,52.0,-1462,2002
4440,48.0,150,2003
4441,48.0,93,2004
4442,40.0,939,2005
4443,51.0,2548,2006
4444,52.0,801,2007
4445,46.0,316,2008
4446,47.0,-1951,2009
4447,48.0,-1477,2010
4448,44.0,-1045,2011
4449,45.0,-1031,2012
4450,43.0,-1084,2013
4451,43.0,-931,2014
4452,44.0,-323,2015
4453,42.0,-1515,2016
4454,41.0,-1943,2017
4455,35.0,-2227,2018
4456,41.0,-1352,2019
4457,23.0,289,1993
4458,26.0,18,1994
4459,14.0,-17,1995
4460,11.0,290,1996
4461,16.0,190,1997
4462,17.0,144,1998
4463,21.0,131,2017
4464,13.0,59,2018
4465,1.0,133,2019
4466,61.0,21034,1993
4467,61.0,21155,1994
4468,60.0,16871,1995
4469,62.0,15541,1996
4470,60.0,17055,1997
4471,61.0,17699,1998
4472,72.0,17864,1999
4473,73.0,19207,2000
4474,69.0,18299,2001
4475,64.0,19357,2002
4476,65.0,19393,2003
4477,61.0,20382,2004
4478,64.0,21240,2005
4479,59.0,23788,2006
4480,60.0,27847,2007
4481,54.0,30698,2008
4482,48.0,24408,2009
4483,54.0,21770,2010
4484,52.0,17994,2011
4485,57.0,13611,2012
4486,51.0,15527,2013
4487,56.0,243,2014
4488,53.0,6385,2015
4489,53.0,9313,2016
4490,53.0,13218,2017
4491,51.0,8197,2018
4492,53.0,8086,2019
4493,30.0,2209,1993
4494,31.0,1168,1994
4495,30.0,524,1995
4496,29.0,1150,1996
4497,26.0,2104,1997
4498,31.0,2510,1998
4499,52.0,939,1999
4500,52.0,1103,2000
4501,54.0,1893,2001
4502,49.0,2336,2002
4503,50.0,2682,2003
4504,44.0,3421,2004
4505,49.0,2704,2005
4506,42.0,2638,2006
4507,42.0,2705,2007
4508,44.0,3384,2008
4509,39.0,1818,2009
4510,36.0,2683,2010
4511,41.0,210,2011
4512,44.0,-76,2012
4513,41.0,-419,2013
4514,42.0,516,2014
4515,40.0,426,2015
4516,39.0,1293,2016
4517,39.0,3569,2017
4518,39.0,1536,2018
4519,36.0,2613,2019
4520,38.0,181,1993
4521,39.0,704,1994
4522,37.0,1227,1995
4523,44.0,543,1996
4524,45.0,1157,1997
4525,49.0,1164,1998
4526,50.0,1673,1999
4527,44.0,852,2000
4528,49.0,1519,2001
4529,49.0,7,2002
4530,48.0,446,2003
4531,43.0,2010,2004
4532,50.0,561,2005
4533,46.0,741,2006
4534,48.0,460,2007
4535,45.0,582,2008
4536,44.0,-365,2009
4537,44.0,-4,2010
4538,41.0,-24,2011
4539,45.0,414,2012
4540,42.0,333,2013
4541,42.0,560,2014
4542,41.0,-203,2015
4543,38.0,207,2016
4544,40.0,1152,2017
4545,40.0,219,2018
4546,38.0,665,2019
4547,35.0,23705,1993
4548,38.0,10650,1994
4549,35.0,6823,1995
4550,34.0,-1140,1996
4551,34.0,-474,1997
4552,34.0,-992,1998
4553,36.0,-2084,1999
4554,34.0,-3893,2000
4555,39.0,-3992,2001
4556,37.0,-2314,2002
4557,38.0,-3047,2003
4558,36.0,-2488,2004
4559,40.0,-2092,2005
4560,36.0,-594,2006
4561,43.0,370,2007
4562,44.0,797,2008
4563,43.0,479,2009
4564,44.0,97,2010
4565,42.0,-1437,2011
4566,44.0,-2031,2012
4567,41.0,-3331,2013
4568,41.0,-1316,2014
4569,43.0,-405,2015
4570,42.0,-850,2016
4571,39.0,662,2017
4572,39.0,478,2018
4573,38.0,-218,2019
4574,14.0,-32,1999
4575,14.0,-16,2000
4576,15.0,-3,2001
4577,13.0,-48,2002
4578,13.0,15,2003
4579,10.0,-3,2004
4580,11.0,29,2005
4581,12.0,-31,2006
4582,11.0,-1,2007
4583,12.0,-5,2008
4584,10.0,-6,2009
4585,10.0,-3,2010
4586,13.0,-35,2011
4587,11.0,-5,2012
4588,9.0,21,2013
4589,11.0,-35,2014
4590,13.0,0,2015
4591,9.0,-4,2016
4592,10.0,19,2017
4593,9.0,-29,2018
4594,9.0,-19,2019
4595,41.0,-356,1993
4596,47.0,-544,1994
4597,44.0,-736,1995
4598,45.0,-479,1996
4599,40.0,-497,1997
4600,49.0,-306,1998
4601,44.0,-632,1999
4602,44.0,-335,2000
4603,46.0,-389,2001
4604,46.0,-513,2002
4605,46.0,-352,2003
4606,43.0,-532,2004
4607,47.0,-195,2005
4608,44.0,-230,2006
4609,45.0,-177,2007
4610,46.0,232,2008
4611,44.0,153,2009
4612,44.0,128,2010
4613,44.0,210,2011
4614,48.0,-235,2012
4615,42.0,-63,2013
4616,42.0,-164,2014
4617,42.0,-31,2015
4618,40.0,-425,2016
4619,40.0,-497,2017
4620,38.0,-213,2018
4621,39.0,-236,2019
4622,44.0,-142,2003
4623,38.0,-79,2004
4624,43.0,20,2005
4625,40.0,-50,2006
4626,41.0,-20,2007
4627,40.0,55,2008
4628,34.0,2241,1993
4629,32.0,1632,1994
4630,30.0,1259,1995
4631,27.0,1069,1996
4632,26.0,2382,1997
4633,31.0,1797,1998
4634,33.0,728,1999
4635,33.0,305,2000
4636,38.0,143,2001
4637,37.0,-405,2002
4638,34.0,-13,2003
4639,32.0,310,2004
4640,35.0,852,2005
4641,33.0,1348,2006
4642,42.0,2689,2007
4643,43.0,3849,2008
4644,42.0,3561,2009
4645,43.0,2239,2010
4646,41.0,2927,2011
4647,44.0,2558,2012
4648,41.0,1999,2013
4649,40.0,1586,2014
4650,40.0,853,2015
4651,38.0,653,2016
4652,38.0,1146,2017
4653,38.0,136,2018
4654,38.0,-376,2019
4655,14.0,-94,1993
4656,0.0,56,1994
4657,0.0,-33,1995
4658,0.0,4,1996
4659,0.0,30,1997
4660,0.0,127,1998
4661,0.0,142,1999
4662,0.0,75,2000
4663,0.0,60,2001
4664,0.0,30,2002
4665,0.0,41,2003
4666,0.0,66,2004
4667,40.0,-142,1993
4668,43.0,-383,1994
4669,40.0,-193,1995
4670,38.0,-210,1996
4671,39.0,-252,1997
4672,44.0,-273,1998
4673,42.0,-440,1999
4674,39.0,-647,2000
4675,43.0,-544,2001
4676,42.0,-880,2002
4677,45.0,-714,2003
4678,40.0,-687,2004
4679,44.0,-490,2005
4680,41.0,-327,2006
4681,42.0,-271,2007
4682,42.0,-69,2008
4683,38.0,55,2009
4684,42.0,-158,2010
4685,39.0,46,2011
4686,44.0,-553,2012
4687,41.0,-375,2013
4688,41.0,-196,2014
4689,39.0,-177,2015
4690,41.0,-339,2016
4691,38.0,-1108,2017
4692,39.0,-638,2018
4693,35.0,-142,2019
4694,36.0,45,1993
4695,29.0,100,2005
4696,33.0,-2,2006
4697,19.0,-196,1993
4698,21.0,-284,1994
4699,20.0,-104,1995
4700,18.0,258,1996
4701,19.0,-1625,1997
4702,20.0,-636,1998
4703,19.0,-355,1999
4704,23.0,77,2000
4705,18.0,167,2001
4706,43.0,373,1993
4707,44.0,663,1994
4708,47.0,274,1995
4709,49.0,768,1996
4710,50.0,953,1997
4711,58.0,1053,1998
4712,48.0,789,1999
4713,46.0,374,2000
4714,47.0,1011,2001
4715,47.0,565,2002
4716,46.0,440,2003
4717,42.0,747,2004
4718,51.0,500,2005
4719,44.0,625,2006
4720,47.0,215,2007
4721,44.0,158,2008
4722,43.0,308,2009
4723,44.0,215,2010
4724,42.0,305,2011
4725,44.0,806,2012
4726,42.0,406,2013
4727,43.0,461,2014
4728,42.0,371,2015
4729,40.0,65,2016
4730,39.0,152,2017
4731,40.0,-110,2018
4732,39.0,-71,2019
4733,44.0,10,1993
4734,49.0,102,1994
4735,50.0,-477,1995
4736,50.0,-309,1996
4737,45.0,-157,1997
4738,61.0,55,1998
4739,54.0,-86,1999
4740,44.0,-131,2000
4741,44.0,-173,2001
4742,54.0,-220,2002
4743,49.0,-137,2003
4744,44.0,-379,2004
4745,58.0,-102,2005
4746,45.0,-144,2006
4747,48.0,-232,2007
4748,44.0,-239,2008
4749,44.0,-76,2009
4750,45.0,-40,2010
4751,44.0,-188,2011
4752,46.0,-200,2012
4753,45.0,-186,2013
4754,44.0,-246,2014
4755,44.0,49,2015
4756,42.0,-139,2016
4757,41.0,-668,2017
4758,40.0,-497,2018
4759,39.0,-304,2019
4760,29.0,62,2001
4761,29.0,-133,2002
4762,32.0,-30,2003
4763,25.0,-54,2004
4764,29.0,-62,2005
4765,28.0,62,2006
4766,43.0,30,2007
4767,44.0,53,2008
4768,56.0,2,2009
4769,31.0,-196,2010
4770,31.0,-65,2011
4771,35.0,121,2012
4772,30.0,-39,2013
4773,31.0,32,2014
4774,36.0,-36,2015
4775,31.0,75,2016
4776,33.0,14,2017
4777,34.0,18,2018
4778,32.0,85,2019
4779,6.0,-154,1993
4780,6.0,-419,1994
4781,39.0,3062,1993
4782,40.0,3254,1994
